px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
125.029	12.8184	1.52943	0.115303	-0.0389766	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.85822
127.767	13.2955	2.88112	0.234273	0.0687225	127.853	13.3273	127.609	13.2365	2.44434	0.495787	12.6129
127.739	13.2932	2.83617	0.235789	0.0703831	127.506	13.153	127.609	13.2365	2.44434	0.495787	0.823064
129.981	13.7108	2.29751	0.212857	0.0179784	129.947	13.6963	130.042	13.7853	2.50232	0.621879	2.02423
130.015	13.7142	2.33884	0.210157	0.0161155	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.30621
132.102	14.4922	2.23806	0.400135	0.132595	132.092	14.507	132.53	14.458	2.55028	0.74543	0.613573
132.136	14.4949	2.29776	0.395538	0.12792	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.24911
135.019	15.0634	2.92398	0.0927786	-0.150456	135.074	15.0475	135.066	15.2513	2.58865	0.863795	5.71742
135.022	15.0626	2.90793	0.0914524	-0.151665	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.147188
137.581	16.1792	2.62537	0.441059	0.169512	137.561	16.2147	137.639	16.1592	2.61821	0.974442	4.56573
137.594	16.1791	2.66087	0.439041	0.166009	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.270211
140.308	17.0264	2.83937	0.291367	-0.0470391	140.331	17.008	140.242	17.1733	2.63994	1.07503	1.98668
140.314	17.0272	2.8496	0.289987	-0.0481354	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0408461
142.895	17.9842	2.78539	0.357037	0.0276098	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.262384
142.874	17.9814	2.77076	0.357909	0.0274262	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.638642
145.392	19.1538	2.81618	0.471894	0.0852659	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.148064
145.433	19.1586	2.87105	0.465613	0.0798324	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.84984
148.231	20.4733	3.1484	0.449169	0.0146382	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.682766
148.227	20.4729	3.13254	0.451069	0.0170272	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.0522626
150.701	22.108	2.97878	0.628727	0.125241	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.628406
150.695	22.1064	2.98994	0.626705	0.121278	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.202959
153.404	23.5074	3.03378	0.45593	-0.0786329	153.422	23.4909	153.491	23.3999	2.66999	1.3647	1.62094
153.4	23.5068	3.02614	0.457077	-0.0774895	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.014644
156.05	24.8058	2.99126	0.428757	-0.0442908	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0537325
156.049	24.8057	2.97706	0.430007	-0.0423556	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.0487118
158.894	26.0266	3.15103	0.382299	-0.0462577	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.20095
158.907	26.0287	3.16091	0.38105	-0.0468721	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.215108
161.434	27.4191	2.88043	0.515223	0.0756906	161.412	27.4256	161.493	27.4891	2.65371	1.33344	1.12903
161.449	27.4216	2.89701	0.513896	0.0747723	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.274315
163.642	28.7783	2.59772	0.591679	0.0782702	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.592725
163.698	28.7871	2.6729	0.579512	0.0677734	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.2852
166.77	30.2004	3.41953	0.339106	-0.140923	166.828	30.2062	166.809	30.0721	2.63006	1.22694	5.55932
166.756	30.1968	3.37323	0.343609	-0.136343	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.418509
169.149	31.3724	2.62639	0.403876	-0.00949238	169.097	31.3717	169.452	31.2706	2.61238	1.15075	4.40924
169.158	31.3737	2.6478	0.402769	-0.0110624	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0992782
172.137	32.3382	3.19493	0.258378	-0.104634	172.175	32.3404	172.079	32.3873	2.58945	1.06126	2.32203
172.139	32.3383	3.17683	0.258413	-0.104243	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.162373
174.676	33.4515	2.73429	0.397995	0.0553228	174.643	33.4625	174.685	33.4095	2.56021	0.960341	2.34314
174.665	33.4496	2.72126	0.398182	0.0555231	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.121739
177.038	34.2184	2.50325	0.31358	-0.0392322	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.687646
177.048	34.2202	2.51485	0.312429	-0.0400965	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.101226
180.097	35.1283	3.27066	0.266729	-0.0421316	180.145	35.1423	179.799	35.1289	2.47883	0.732949	3.78861
180.047	35.1187	3.17625	0.270555	-0.0385253	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.77573
182.631	35.7619	2.67957	0.222869	-0.044581	182.599	35.753	182.292	35.8114	2.42515	0.611338	1.63762
182.586	35.7531	2.62	0.224065	-0.0436909	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.31612
184.756	36.5058	2.29454	0.335205	0.0616216	184.732	36.5155	184.73	36.37	2.36226	0.487877	1.15423
184.756	36.5059	2.29126	0.335365	0.0618463	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.00399404
186.943	36.96	2.23705	0.193989	-0.0708156	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.758412
186.975	36.9666	2.28083	0.190973	-0.0728401	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.19891
189.447	37.3997	2.56663	0.144379	-0.0548047	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.552773
189.462	37.4026	2.56377	0.14432	-0.0548578	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.516965
191.751	37.5692	2.32069	0.0369964	-0.0885537	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.437915
191.735	37.566	2.29481	0.0359019	-0.0895777	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.263951
193.506	37.2927	1.77752	-0.200281	-0.186793	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	2.16189
193.515	37.2951	1.80446	-0.197393	-0.183696	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.154436
195.938	37.3548	2.3799	0.130484	0.144048	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	6.85988
195.897	37.349	2.30859	0.1179	0.135829	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	1.87687
197.751	37.7319	1.91195	0.26943	0.149309	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	1.04329
197.728	37.7276	1.88719	0.269139	0.149374	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.607687
199.307	37.356	1.35253	-0.166766	-0.223361	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	7.66021
199.313	37.3585	1.37702	-0.16547	-0.221402	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.120693
201.483	36.9885	2.29468	-0.204233	-0.0996027	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	6.18228
201.437	36.9793	2.21864	-0.227489	-0.116834	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	2.37015
202.998	36.449	1.66577	-0.3826	-0.137556	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	2.04421
202.979	36.4452	1.641	-0.388558	-0.141677	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.416893
204.018	36.1641	1.04835	-0.374786	-0.0455194	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	2.68184
204.005	36.161	1.06585	-0.377818	-0.0456647	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0.646525
